http://www.rdatamining.com/docs,mktrf,smb,hml,rf,umd
20061002,-0.0043,-0.0055,0.0019,0.00018,0.002
20061003,0.0013,-0.0037,0.0046,0.00018,-0.0007
20061004,0.0128,0.0073,-0.0052,0.00018,0.0007
20061005,0.0043,0.0093,-0.0037,0.00018,0.0003
20061006,-0.0031,-0.0004,-0.0009,0.00018,-0.0016
20061009,0.002,0.0042,0.0011,0.00018,0.0028
20061010,0.0021,-0.0004,0,0.00018,-0.0004
20061011,-0.003,-0.0033,0.0023,0.00018,0.0012
20061012,0.0107,0.0093,-0.0019,0.00018,0
20061013,0.0022,0.0049,-0.0006,0.00018,0.0021
20061016,0.0034,0.0062,-0.0032,0.00018,-0.0021
20061017,-0.0044,-0.0022,0.0041,0.00018,0.0011
20061018,0.0008,-0.0032,0.0003,0.00018,-0.0014
20061019,0.001,0.0045,-0.0009,0.00018,-0.0011
20061020,-0.0002,-0.0073,0.0004,0.00018,-0.002
20061023,0.0056,-0.0042,-0.0019,0.00018,0.0016
20061024,0.0001,-0.0022,0.0022,0.00018,-0.0023
